epoch,MSE,MAE
0,6635.330078125,80.29975128173828
1,6632.33544921875,80.28150177001953
2,6621.630859375,80.21566772460938
3,6608.31201171875,80.1336669921875
4,6592.712890625,80.0374984741211
5,6574.296875,79.923828125
6,6552.48828125,79.78902435302734
7,6525.7529296875,79.62347412109375
8,6492.0087890625,79.4140853881836
9,6453.49072265625,79.17440795898438
10,6409.89599609375,78.90227508544922
11,6356.23779296875,78.5660629272461
12,6289.5498046875,78.14624786376953
13,6204.85009765625,77.60980987548828
14,6094.05078125,76.90253448486328
15,5945.54443359375,75.9443359375
16,5746.19580078125,74.63896942138672
17,5483.3740234375,72.88255310058594
18,5135.89794921875,70.49384307861328
19,4668.68701171875,67.14939880371094
20,4032.081787109375,62.30665588378906
21,3255.1259765625,55.835052490234375
22,2344.1484375,47.14093780517578
23,1319.609130859375,34.89976501464844
24,443.1677551269531,19.114994049072266
25,56.06658172607422,6.028465747833252
26,233.7924346923828,13.978365898132324
27,217.84796142578125,13.406593322753906
28,82.6037368774414,7.584315299987793
29,57.852779388427734,6.088830947875977
30,84.74117279052734,7.240747928619385
31,96.09349060058594,7.727022171020508
32,82.93934631347656,7.162594318389893
33,64.57315063476562,6.359620571136475
34,56.12034225463867,6.029951095581055
35,55.847747802734375,6.076543807983398
36,56.32129669189453,6.113427639007568
37,55.66981506347656,6.060666084289551
38,55.666587829589844,6.021324157714844
39,57.04011154174805,6.05935525894165
40,58.155399322509766,6.099245548248291
41,57.59609603881836,6.079281806945801
42,56.63404083251953,6.045509338378906
43,55.973716735839844,6.02616548538208
44,55.701595306396484,6.021348476409912
45,55.65907669067383,6.021114349365234
46,55.71042251586914,6.021396636962891
47,55.98662567138672,6.02641487121582
48,56.43057632446289,6.038769245147705
49,56.60794448852539,6.0445780754089355
50,56.58698654174805,6.0438714027404785
51,56.028987884521484,6.027372360229492
52,55.64951705932617,6.0209245681762695
53,55.56398010253906,6.021456718444824
54,55.91682052612305,6.02474308013916
55,56.5517692565918,6.042645454406738
56,56.775142669677734,6.0501017570495605
57,56.089656829833984,6.028806686401367
58,55.655582427978516,6.0207695960998535
59,55.49372100830078,6.024385452270508
60,55.69223403930664,6.02090311050415
61,56.22446060180664,6.032427787780762
62,56.63011932373047,6.045175552368164
63,57.21113586425781,6.065278053283691
64,56.508914947509766,6.041110515594482
65,55.78081130981445,6.021871566772461
66,55.682979583740234,6.020664691925049
67,56.19648361206055,6.0315375328063965
68,56.026485443115234,6.027027130126953
69,55.879173278808594,6.02366304397583
70,55.86130905151367,6.0232720375061035
71,56.43476486206055,6.038608074188232
72,56.09801483154297,6.028774261474609
73,56.38692855834961,6.037083148956299
74,56.21250534057617,6.031880855560303
75,56.41425704956055,6.037903308868408
76,55.96145248413086,6.025313377380371
77,55.640811920166016,6.02012300491333
78,55.80622482299805,6.022014141082764
79,56.24991226196289,6.032870292663574
80,56.60542678833008,6.044109344482422
81,56.297645568847656,6.034245491027832
82,55.81167221069336,6.022016525268555
83,55.55628204345703,6.020237445831299
84,55.50293731689453,6.0218281745910645
85,55.83995056152344,6.022491931915283
86,56.689022064208984,6.046832084655762
87,57.541412353515625,6.076845169067383
88,56.81538009643555,6.0510334968566895
89,56.117435455322266,6.028934478759766
90,55.51382827758789,6.020884990692139
91,56.00123596191406,6.025928497314453
92,56.79552459716797,6.050296783447266
93,57.12794876098633,6.061903476715088
94,55.69408416748047,6.01986837387085
95,55.81690216064453,6.021759986877441
96,56.054298400878906,6.027132034301758
97,56.35366439819336,6.035639762878418
98,56.285587310791016,6.033558368682861
99,55.63584518432617,6.019228458404541
