epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.393669071,0.55585645,0.735680313,0.892621338,0.88329036,0.872539398,0.852989187,366.773469
1,0.413695014,0.575609312,0.746717338,0.903067094,0.892691641,0.881012949,0.850680782,381.0420787
2,0.423525931,0.589900553,0.765127552,0.905220506,0.894770376,0.883262388,0.873032638,375.733968
3,0.435404956,0.603964226,0.77438955,0.908690683,0.898097313,0.886784989,0.876118116,378.5136731
4,0.437043443,0.604305578,0.771158091,0.908749133,0.898228635,0.886989526,0.875460961,398.8468442
5,0.439523929,0.608265253,0.776801766,0.909895035,0.899226174,0.887839496,0.879264841,392.1754565
6,0.438841226,0.60842455,0.777006577,0.908803954,0.898565608,0.887186799,0.878723815,376.0952964
7,0.443051225,0.613021414,0.779987711,0.910238603,0.899767361,0.888495352,0.875161673,382.6039677
8,0.44259609,0.611200874,0.77705209,0.908879813,0.898731749,0.88809734,0.873955785,379.345583
9,0.444826252,0.615524657,0.78406117,0.909232922,0.899012882,0.888197305,0.88038945,387.0436759
10,0.447147441,0.618323738,0.779805657,0.909486657,0.899392012,0.888550962,0.865602083,379.2873085
11,0.44771636,0.619734656,0.785972737,0.909612515,0.899296902,0.88854589,0.879003526,377.4958923
12,0.44778463,0.615797738,0.777302414,0.908989078,0.898854969,0.888581827,0.868662354,375.8577876
13,0.448080468,0.618118927,0.781307603,0.90936915,0.899190752,0.888733845,0.875173872,374.424926
14,0.446555765,0.619097467,0.788316683,0.909267994,0.899014287,0.888149296,0.885869081,376.4594193
15,0.449127279,0.621282115,0.789272467,0.909503628,0.899324101,0.888677012,0.880708236,417.9274731
16,0.449741711,0.621282115,0.790455818,0.909919279,0.899657605,0.888774866,0.87933166,383.2863469
17,0.44771636,0.619939467,0.789295223,0.909083462,0.89892316,0.888181997,0.879938254,377.3604214
18,0.445941333,0.617163143,0.7823089,0.907858535,0.898092331,0.887701451,0.882182584,378.5506582
19,0.448125981,0.620553899,0.787816034,0.908303005,0.898250645,0.887702119,0.883752389,376.8653567
20,0.448535603,0.619507089,0.789659331,0.90817007,0.898334869,0.887791873,0.885435766,377.9094796
21,0.448421819,0.619142981,0.78847598,0.907403882,0.89775047,0.887363311,0.886492963,390.9117475
22,0.450128576,0.622465467,0.790000683,0.909574846,0.899380291,0.888814661,0.887099213,383.3569255
23,0.450242359,0.62153244,0.78931798,0.909236888,0.899163304,0.888575475,0.884131914,374.7678037
24,0.450720251,0.621213845,0.79093371,0.908687466,0.898910036,0.888271195,0.883991978,387.9785771
25,0.451858089,0.624832169,0.794916141,0.909931113,0.899740002,0.8891421,0.887053868,388.0291843
26,0.451562251,0.620053251,0.784174954,0.909305517,0.899449063,0.888972455,0.875329037,376.6340592
27,0.450265116,0.621760007,0.789955169,0.90857817,0.89872737,0.888298786,0.880955699,375.7717321
28,0.448672143,0.6163439,0.780351819,0.909991054,0.899755917,0.889669539,0.873964787,406.6475294
29,0.452518035,0.623535034,0.79359625,0.911401489,0.900961119,0.890295331,0.885807299,378.7941368
30,0.4512209,0.623944656,0.794756844,0.910564434,0.9003911,0.889628915,0.885635794,375.4313369
31,0.451334684,0.623375737,0.791730196,0.910015219,0.900041013,0.889459708,0.877245793,377.0015798
32,0.450993332,0.625196277,0.795166466,0.909628835,0.899595425,0.889097377,0.889226668,378.5418355
33,0.450560954,0.624240493,0.794392736,0.909870071,0.899709386,0.889069839,0.884644449,380.5847356
34,0.453360035,0.624786655,0.792026034,0.911179638,0.900912026,0.890215263,0.885796453,384.2492468
35,0.451175386,0.624035683,0.792777007,0.911342396,0.900946442,0.889860291,0.888637584,379.9934049
36,0.454702683,0.627153358,0.795803655,0.911798904,0.901537698,0.890711433,0.886952438,387.3666356
37,0.454588899,0.626311358,0.79359625,0.911500281,0.901351476,0.890748516,0.885092137,372.8107436
38,0.45304144,0.624695628,0.793323169,0.910920774,0.900852546,0.890110016,0.88814277,379.8223798
39,0.452927656,0.624399791,0.792139817,0.909640199,0.899882385,0.889263976,0.884846563,379.6582584
40,0.454156521,0.626698223,0.791821223,0.911915855,0.901667832,0.890890251,0.882589834,383.4622896
41,0.452495278,0.624763899,0.792845277,0.910691856,0.900508824,0.889845013,0.882185504,373.3458133
42,0.454133764,0.62517352,0.791866736,0.910813895,0.900933571,0.89012737,0.883207918,373.1727703
43,0.454679926,0.626561682,0.794005871,0.911113607,0.901101725,0.890538552,0.88810486,375.564023
44,0.453769656,0.627221628,0.794392736,0.909862902,0.900044136,0.889472517,0.878390959,382.8475754
45,0.454520629,0.626971304,0.796804952,0.911064342,0.901020407,0.890386905,0.891896075,377.5109782
46,0.454611656,0.627494709,0.794461006,0.910829819,0.900885643,0.890159573,0.885294411,383.2543302
47,0.452449764,0.623853629,0.790205493,0.909172221,0.899306887,0.888929196,0.882977405,393.963455
48,0.453792413,0.625719682,0.793436952,0.910251553,0.900322474,0.889587682,0.887251443,434.3857858
49,0.455203332,0.625128007,0.785153494,0.911849537,0.901788711,0.891230281,0.872654849,394.5955017
50,0.454293061,0.627449196,0.79450652,0.910967265,0.900836656,0.890354719,0.882116371,378.3271103
51,0.456591494,0.628336709,0.796691168,0.91079787,0.900985663,0.89042012,0.888383188,373.4127853
52,0.456181872,0.629997952,0.798602735,0.91278738,0.902386496,0.891592611,0.886212885,386.4625962
53,0.455726737,0.627198871,0.793209385,0.91102002,0.901007708,0.890555581,0.880554261,435.964978
54,0.456272899,0.629474547,0.796554628,0.911690156,0.901594159,0.890883399,0.88681704,435.7255971
55,0.453405548,0.625469358,0.796122249,0.910176477,0.900208784,0.889763589,0.884966101,378.346761
56,0.454770953,0.625992763,0.795166466,0.912546984,0.902307434,0.891275261,0.884888832,374.1098409
57,0.455999818,0.629997952,0.797487654,0.910817704,0.900869701,0.8902881,0.8856119,381.5729663
58,0.455954304,0.629019412,0.794096898,0.911297918,0.901345669,0.890803427,0.882110811,377.3914185
59,0.454907494,0.628291195,0.793960358,0.9116276,0.901586849,0.890807349,0.887043889,381.7544479
60,0.455317115,0.628587033,0.796645655,0.910654058,0.900751173,0.890335911,0.883844035,377.3825691
61,0.455226088,0.629906925,0.797487654,0.911017879,0.901011238,0.890500302,0.884763398,383.489028
62,0.456090845,0.629201466,0.79723733,0.912500518,0.902113791,0.891383165,0.886644344,383.9372315
63,0.456295656,0.628496006,0.795735384,0.911523347,0.901528954,0.890978829,0.885064022,376.427809
64,0.457183169,0.631022006,0.797123546,0.911607772,0.901576581,0.890909976,0.883464784,377.6837194
65,0.455840521,0.629246979,0.795530574,0.910796161,0.900990674,0.890362702,0.888850382,375.4534199
66,0.457092142,0.63029379,0.798671006,0.911952247,0.901914993,0.89111282,0.88764626,372.456547
67,0.455317115,0.628769087,0.796099493,0.910692433,0.90090132,0.890201585,0.889415587,379.6691945
68,0.455339872,0.628313952,0.794916141,0.910737844,0.900953743,0.890299552,0.877778908,377.4938879
69,0.455476413,0.628928384,0.795621601,0.911498661,0.901458971,0.890516556,0.885422011,378.792207
70,0.455339872,0.627426439,0.795507817,0.909776993,0.900231236,0.889727493,0.888144808,376.0764608
71,0.456386683,0.629315249,0.79632706,0.911861656,0.901853305,0.891062831,0.884154217,374.3864319
72,0.455886034,0.629201466,0.796759438,0.910393443,0.900686843,0.890113685,0.880133183,376.2955515
73,0.457706574,0.630726168,0.798739276,0.912230357,0.902075085,0.891137881,0.887041099,379.7594404
74,0.45570398,0.63043033,0.796941492,0.911332499,0.901316548,0.890665661,0.882747628,376.3150465
75,0.456637007,0.630020709,0.799490249,0.910305602,0.900584663,0.890110489,0.886134646,378.1079733
76,0.456500467,0.629656601,0.794984412,0.912105112,0.901842015,0.891044576,0.880827935,379.5644844
77,0.457501764,0.629770384,0.796531871,0.911821455,0.90166903,0.890982245,0.886927265,378.5720654
78,0.456705277,0.630999249,0.799535762,0.911317865,0.901316608,0.890728923,0.886401769,374.7277722
79,0.456591494,0.63029379,0.799194411,0.91072312,0.900865781,0.890295337,0.889091712,376.0657618
80,0.45752452,0.630475844,0.796509114,0.91149266,0.901478154,0.890834593,0.88073648,382.9606972
81,0.457046629,0.630157249,0.798534465,0.911034896,0.901162569,0.890495129,0.886013434,383.0045612
82,0.455999818,0.62769952,0.794233439,0.912177212,0.902023597,0.891267805,0.880756247,377.3290725
83,0.456318412,0.629133195,0.795962952,0.910678263,0.900812938,0.89025828,0.885599209,376.799334
84,0.456181872,0.629770384,0.799262681,0.911877532,0.901718745,0.890988717,0.887310308,381.971127
85,0.457001115,0.629474547,0.796008466,0.90938264,0.899772591,0.889557896,0.888768953,374.5194697
86,0.457251439,0.62776779,0.793823817,0.911527403,0.901600036,0.890868101,0.877011958,379.1088872
87,0.455886034,0.63029379,0.798102087,0.910878018,0.901031243,0.890286951,0.888885787,375.0221715
88,0.457183169,0.630657898,0.79801106,0.911185896,0.901224043,0.890549815,0.889638714,380.7715328
89,0.456022575,0.627085087,0.791206791,0.912279187,0.902063233,0.891294275,0.879446658,369.6662002
90,0.456022575,0.628404979,0.79450652,0.910581782,0.900857875,0.890325536,0.879845625,372.389724
91,0.456659764,0.629679357,0.798488952,0.911376667,0.901402285,0.890644268,0.891648751,376.1763961
92,0.454816467,0.627540223,0.796145006,0.910440981,0.900470188,0.889889621,0.886647793,369.7414076
93,0.456272899,0.628040871,0.792071547,0.910956214,0.901048268,0.890461039,0.879064569,376.3827767
94,0.457251439,0.631295087,0.798671006,0.910945425,0.901103459,0.890430339,0.888524928,368.6531518
95,0.454588899,0.626948547,0.793505223,0.910305918,0.900436278,0.889905021,0.882196047,369.0016823
96,0.457911385,0.630930979,0.797829006,0.911480299,0.90152383,0.890974306,0.889280117,381.3113101
97,0.456318412,0.629178709,0.798443438,0.910452538,0.900663829,0.890089957,0.889446425,376.0227752
98,0.457592791,0.629815898,0.793277655,0.912157693,0.901972,0.891392295,0.875692488,395.1174304
99,0.457570034,0.629019412,0.795257493,0.911352125,0.901370497,0.890670506,0.888011038,393.499984
