epoch,MSE,MAE,C1R1,C1R2,C1R3
0,6750.6337890625,80.70084381103516,0.15625,0.125,0.09375
1,6735.56201171875,80.60897064208984,0.15625,0.125,0.09375
2,6718.34423828125,80.50386047363281,0.15625,0.125,0.09375
3,6701.06201171875,80.3982162475586,0.15625,0.125,0.09375
4,6684.2216796875,80.29515838623047,0.15625,0.125,0.09375
5,6668.54345703125,80.1990966796875,0.15625,0.125,0.09375
6,6653.353515625,80.10588836669922,0.15625,0.125,0.09375
7,6636.7001953125,80.00357818603516,0.15625,0.125,0.09375
8,6616.7705078125,79.88096618652344,0.15625,0.125,0.09375
9,6591.1689453125,79.72319030761719,0.15625,0.125,0.09375
10,6558.4326171875,79.52101135253906,0.15625,0.125,0.09375
11,6518.05859375,79.27098083496094,0.15625,0.125,0.09375
12,6466.86181640625,78.95282745361328,0.15625,0.125,0.09375
13,6397.9501953125,78.52262878417969,0.15625,0.125,0.09375
14,6303.75634765625,77.93083953857422,0.15625,0.125,0.09375
15,6186.751953125,77.18948364257812,0.15625,0.125,0.09375
16,6042.7509765625,76.267333984375,0.15625,0.125,0.09375
17,5847.6572265625,75.00017547607422,0.15625,0.125,0.09375
18,5566.10986328125,73.13325500488281,0.15625,0.125,0.09375
19,5145.31005859375,70.25147247314453,0.15625,0.125,0.09375
20,4586.748046875,66.23480987548828,0.15625,0.125,0.09375
21,3900.77294921875,60.94485092163086,0.15625,0.125,0.09375
22,3070.488525390625,53.860076904296875,0.15625,0.125,0.09375
23,2115.611572265625,44.35463333129883,0.15625,0.125,0.09375
24,1123.885986328125,31.648338317871094,0.15625,0.125,0.125
25,339.8810729980469,15.819307327270508,0.15625,0.125,0.09375
26,71.58464813232422,6.89943790435791,0.15625,0.125,0.09375
27,245.10447692871094,14.239921569824219,0.15625,0.125,0.125
28,223.6519012451172,13.504939079284668,0.15625,0.125,0.125
29,103.01946258544922,8.608856201171875,0.15625,0.125,0.125
30,69.50335693359375,6.669418811798096,0.15625,0.125,0.09375
31,87.22604370117188,7.1811299324035645,0.15625,0.125,0.09375
32,100.9743423461914,7.699901580810547,0.15625,0.125,0.09375
33,94.7972640991211,7.4658427238464355,0.15625,0.125,0.09375
34,81.14629364013672,6.958747863769531,0.15625,0.125,0.125
35,71.37410736083984,6.665730953216553,0.15625,0.125,0.125
36,69.5760726928711,6.7218546867370605,0.15625,0.125,0.125
37,71.35345458984375,6.882124900817871,0.15625,0.125,0.125
38,71.09022521972656,6.862386703491211,0.15625,0.125,0.09375
39,69.5054702758789,6.709261894226074,0.15625,0.125,0.09375
40,70.26835632324219,6.6527228355407715,0.15625,0.125,0.125
41,71.56968688964844,6.669734954833984,0.15625,0.125,0.125
42,71.68971252441406,6.672183513641357,0.15625,0.125,0.125
43,70.95716857910156,6.659222602844238,0.15625,0.125,0.125
44,70.24946594238281,6.6525559425354,0.15625,0.125,0.09375
45,70.06404113769531,6.652703285217285,0.15625,0.125,0.09375
46,70.11183166503906,6.652190208435059,0.15625,0.125,0.09375
47,70.114501953125,6.651905059814453,0.15625,0.125,0.09375
48,69.9245834350586,6.653066635131836,0.15625,0.125,0.09375
49,69.83856201171875,6.654132843017578,0.15625,0.125,0.09375
